Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
cat__KSIC세분류_11차_C26290.기타_전자_부품_제조업,2.1107944389084904e-06,0.007437044993780566,8.541087903519013e-06,0.014477591893469909,0.009866856785226613,0.5795996615875144,0.22273274824016728,
missing__missingindicator_지배기업소유주지분_연결,2.1100760603044384e-06,0.007434513902215029,3.112743564292857e-05,0.01754174012150381,0.02224082069970004,0.8489301910145431,0.2811956238962698,
cat__KSIC중분류_11차_J58000.출판업,1.904392224518877e-06,0.006709819960903717,5.7804106243708236e-06,-0.030529080314108923,-0.07146471531633326,-0.5556221504959502,-0.24489983045641456,
missing__missingindicator_매출채권_연결,1.8875224947427534e-06,0.006650382179059442,3.868851694394482e-06,0.015749018938080356,0.0285538288843219,-0.16903151862611152,-0.02460637861548484,
cat__KSIC세분류_11차_C20120.기초_무기화학_물질_제조업,1.8359372376790385e-06,0.006468629815718477,7.573712981142163e-05,-0.007833331555584603,-0.04452589321569406,0.9156627348658459,0.19687207293854686,
cat__NICS산업분류_N35101.헬스케어_장비와_용품,1.8159209952161822e-06,0.006398105802077594,4.177004818967023e-06,-0.009017273058667605,-0.06414814390073935,0.6964330396829123,0.20508499254866608,
missing__missingindicator_fe_감가상각부담,1.8087336157721525e-06,0.006372782225642427,3.4820565408018602e-06,0.010184909823797448,0.022374789526844057,-0.40810065405882284,-0.26473010213388504,
cat__KSIC세분류_11차_C21300.의료용품_및_기타_의약_관련제품_제조업,1.7978593357491407e-06,0.00633446844751445,2.865453641410338e-06,-0.03472153995159375,-0.07478021871090203,-0.7060423861946445,-0.15121552798285975,
missing__missingindicator_fe_유동자산_유동부채,1.7793304337083747e-06,0.006269184838830231,1.3053327891445525e-05,0.017300841440812235,0.02341041406525198,0.702222084063014,0.2132028115218831,
missing__missingindicator_재고자산계_연결,1.7521267912954347e-06,0.0061733371765043945,3.4968139871032014e-06,0.012703017088129744,-0.010912380493808153,-0.1369579210513867,0.06260790792276161,
cat__KSIC중분류_11차_D35000.전기__가스__증기_및_공기_조절_공급업,1.7273620428010237e-06,0.006086082564962102,1.6102016605520886e-05,0.007628292257467482,0.03843111789925778,-0.7298914250084713,-0.12977002223322293,
cat__Trucost산업_Personal_Care_Products,1.7003508921760198e-06,0.005990913116516986,3.4617817226353244e-05,0.0006207688626903932,0.002164438834638487,-0.8177962313121586,-0.29284966893813597,
missing__missingindicator_유형자산계_연결,1.6769528076958547e-06,0.005908473726001418,3.3744313768928546e-06,0.017300841440812235,0.02341041406525198,0.45572076023522323,0.12491529652061534,
missing__missingindicator_fe_영업현금흐름_자산,1.6670855463914192e-06,0.005873708016497074,3.399878041338683e-06,0.017300841440812235,0.02341041406525198,0.4744630839247297,0.12268910583932688,
cat__KSIC대분류_11차_F00000.건설업(41~42),1.5925023161942328e-06,0.005610925990671386,3.923164952017456e-06,0.005215641289281058,0.022382167975945215,-0.24731441733336235,-0.05256762346394186,
cat__Scope1자료출처_Value_summed_up_from_data_provided_in_Environmental/CSR,1.5226819545543397e-06,0.005364925166798443,3.9236068080889845e-05,-0.010894622051856572,-0.003503721799451397,-0.8200272212669152,-0.17991734036688375,
missing__missingindicator_판매비와관리비_연결,1.4206580537652204e-06,0.005005460347949458,2.8732262294729722e-06,0.017300841440812235,0.02341041406525198,0.18118133885059376,0.0493473444804812,
missing__missingindicator_이자수익_연결,1.4084740390567647e-06,0.004962531930136056,5.441072896908581e-06,0.014186946056060277,0.0206038751398574,0.5952994370309341,0.1838560569944515,
cat__Scope2사업장간접자료출처_Value_derived_from_data_provided_in_Environmental/CSR,1.399696410751237e-06,0.004931605367395703,9.722697138431419e-06,-0.005361495552611014,-0.022120085607726117,-0.7181603503322677,-0.392997361821806,
cat__Scope1보고추정구분_산출값,1.3956736043785634e-06,0.004917431655620003,3.0798313544740536e-06,0.00101245244093405,-0.003974340437274618,-0.15770046488403955,-0.08970604587024743,
missing__missingindicator_fe_자본집약도,1.3900117788840434e-06,0.004897483123364322,1.5923809061704063e-05,0.017300841440812235,0.02341041406525198,0.7506642869353022,0.24410389804234311,
cat__주식업종_KGS07P.철강및금속,1.3833876691676115e-06,0.00487414413729502,5.468325157086788e-06,-0.0011026560340315406,0.01602165553653941,-0.7978024879547451,-0.29447332756097055,
missing__missingindicator_fe_영업이익_매출,1.3728013123179602e-06,0.004836844810198164,6.85016916526406e-06,0.017237207835653023,0.02368539177455229,-0.37275974323410443,-0.09693088105548522,
cat__NICS산업분류_N30202.식품,1.3495185126774203e-06,0.004754811607288356,1.1976596206665931e-05,0.019972991875079307,0.03676482590466033,0.753509502999938,0.32422260581271256,
cat__KSIC중분류_11차_C10000.식료품_제조업,1.3368374512735134e-06,0.0047101319253205955,1.390408044987514e-05,0.018113483383101796,0.036126833322471394,0.8009821166128731,0.333192408405703,
cat__NICS산업분류_N25401.미디어,1.3015287127880838e-06,0.004585727259499342,3.410247281860282e-06,0.004549209827440723,0.005940484276876347,-0.02928907302932533,-0.09806126305508468,
cat__NICS산업분류_N25101.자동차_부품,1.2779246575592686e-06,0.004502562164151092,5.6276346598971415e-06,0.007886082330947286,0.03526590801360181,-0.312436738471127,-0.10198786150894681,
cat__주식업종_KGS13P.운수창고,1.2729143081115067e-06,0.004484909003051787,7.395306645122409e-06,0.01782925338600386,0.02648743720137417,0.744133900518001,0.20174828101650655,
cat__KSIC대분류_11차_G00000.도매_및_소매업(45~47),1.2597948041660394e-06,0.004438684539248018,4.628153648081344e-06,0.012444001884423295,0.030404812178692273,0.5238949044456784,0.27400510221972346,
cat__KSIC소분류_11차_C26100.반도체_제조업,1.218682325381805e-06,0.004293831327164368,2.385707632043902e-06,0.003335905780456874,-0.006278926304781781,-0.30746153311274327,-0.11874946679869496,
missing__missingindicator_부채총계_연결,1.2173132778556534e-06,0.004289007708216481,2.9192902356216794e-06,0.017300841440812235,0.02341041406525198,-0.3239178620276093,-0.07714017708560457,
cat__KSIC세분류_11차_C27190.기타_의료용_기기_제조업,1.1856074284950522e-06,0.004177297243230249,2.954233228487124e-05,-0.007595474733098188,-0.054019551493881116,-0.753415692199673,-0.23027810142145877,
missing__missingindicator_fe_부채_자산,1.17665196503002e-06,0.0041457441068840865,8.287900551155444e-06,0.017300841440812235,0.02341041406525198,-0.24187933651475463,-0.1752574923119053,
missing__missingindicator_수익_연결,1.1734107624202384e-06,0.004134324250360602,2.5850032978059267e-06,0.017237207835653023,0.02368539177455229,-0.5149218038069119,-0.1377350268546822,
cat__주식업종_KGS10P.운수장비,1.1331366407787362e-06,0.003992424854942576,4.228829577917479e-06,0.019103559761366642,0.06572122569439218,-0.5712507405120367,-0.22013718348590275,
missing__missingindicator_자본총계_연결,1.0678022829552319e-06,0.003762229744600889,2.011889556984877e-05,0.017300841440812235,0.02341041406525198,0.5657063563024652,0.21429370868550543,
