Feature,Category / Metric,Overall Sample,Target (Y) Subgroup,Statistics
num__fe_영업이익_매출,Mean ± SD,0.00 ± 1.00,-,"$r$=-0.26, $p$<0.001"
num__EBITDA대매출액,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.24, $p$<0.001"
num__총자본순이익율,Mean ± SD,0.00 ± 1.00,-,"$r$=-0.20, $p$<0.001"
num__자기자본순이익율,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.19, $p$<0.001"
num__EBITDA대매출액__lag1,Mean ± SD,0.01 ± 0.99,-,"$r$=-0.16, $p$<0.001"
num__EBITDA대매출액__diff1,Mean ± SD,-0.02 ± 0.51,-,"$r$=-0.14, $p$<0.001"
num__매출액순이익율,Mean ± SD,-0.00 ± 0.99,-,"$r$=-0.13, $p$<0.001"
num__매출액총이익율,Mean ± SD,0.00 ± 1.00,-,"$r$=-0.12, $p$<0.001"
num__fe_판관비율__diff1,Mean ± SD,0.01 ± 0.23,-,"$r$=0.09, $p$<0.001"
num__fe_부채_자산,Mean ± SD,-0.00 ± 1.00,-,"$r$=0.09, $p$<0.001"
num__부채비율,Mean ± SD,-0.00 ± 1.00,-,"$r$=0.09, $p$<0.001"
num__fe_영업현금흐름_자산,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.09, $p$<0.001"
num__장외_거래량_천톤,0.5044116670614167,614 (11.16%),-0.00 ± 0.06,
num__장외_거래량_천톤,0.7251300435875501,614 (11.16%),0.00 ± 0.06,
num__장외_거래량_천톤,1.3855732933066471,614 (11.16%),-0.01 ± 0.06,
num__장외_거래량_천톤,1.4804114375120334,614 (11.16%),0.01 ± 0.05,
num__장외_평균가격_원_tCO2eq,-1.7598971648344002,595 (10.82%),0.00 ± 0.06,"$F$=6.25, $p$<0.001"
num__장외_평균가격_원_tCO2eq,-0.9695527401972502,614 (11.16%),0.00 ± 0.06,
num__장외_평균가격_원_tCO2eq,-0.8044342362407987,608 (11.05%),-0.00 ± 0.06,
num__장외_평균가격_원_tCO2eq,-0.0931413647931621,613 (11.15%),-0.00 ± 0.05,
num__장외_평균가격_원_tCO2eq,0.1340890738121929,614 (11.16%),0.01 ± 0.05,
num__장외_평균가격_원_tCO2eq,0.2867167479356694,614 (11.16%),-0.01 ± 0.06,
num__장외_평균가격_원_tCO2eq,0.305709653572111,614 (11.16%),-0.01 ± 0.07,
num__장외_평균가격_원_tCO2eq,1.1489262209269226,614 (11.16%),-0.00 ± 0.06,
num__장외_평균가격_원_tCO2eq,1.689111834388599,614 (11.16%),0.00 ± 0.06,
num__소계_거래량_천톤,-1.4623059579617514,595 (10.82%),0.00 ± 0.06,"$F$=6.25, $p$<0.001"
num__소계_거래량_천톤,-1.1925698746759648,608 (11.05%),-0.00 ± 0.06,
num__소계_거래량_천톤,-0.5811082015756924,613 (11.15%),-0.00 ± 0.05,
num__소계_거래량_천톤,-0.0755134498411543,614 (11.16%),-0.00 ± 0.06,
num__소계_거래량_천톤,-0.0303435633917743,614 (11.16%),-0.01 ± 0.07,
num__소계_거래량_천톤,0.178096641786094,614 (11.16%),0.00 ± 0.06,
num__소계_거래량_천톤,0.3275507925949329,614 (11.16%),0.01 ± 0.05,
num__소계_거래량_천톤,0.6359122617365813,614 (11.16%),-0.01 ± 0.06,
num__소계_거래량_천톤,2.1424306336562453,614 (11.16%),0.00 ± 0.06,
num__장외_거래대금_억원,-1.3724406743866322,595 (10.82%),0.00 ± 0.06,"$F$=6.25, $p$<0.001"
num__장외_거래대금_억원,-1.111693472155573,608 (11.05%),-0.00 ± 0.06,
num__장외_거래대금_억원,-0.8706025974773158,614 (11.16%),0.00 ± 0.06,
num__장외_거래대금_억원,-0.6094542457043622,613 (11.15%),-0.00 ± 0.05,
num__장외_거래대금_억원,-0.3467012957638328,614 (11.16%),-0.01 ± 0.07,
num__장외_거래대금_억원,0.8029932913041935,614 (11.16%),-0.00 ± 0.06,
num__장외_거래대금_억원,1.0561186522392685,614 (11.16%),0.01 ± 0.05,
num__장외_거래대금_억원,1.0858037183394198,614 (11.16%),-0.01 ± 0.06,
num__장외_거래대금_억원,1.3116509104257068,614 (11.16%),0.00 ± 0.06,
num__소계_평균가격_원_tCO2eq,-1.5550663712068091,614 (11.16%),0.00 ± 0.06,"$F$=6.25, $p$<0.001"
num__소계_평균가격_원_tCO2eq,-1.517451542572008,595 (10.82%),0.00 ± 0.06,
num__소계_평균가격_원_tCO2eq,-0.5742714204138979,608 (11.05%),-0.00 ± 0.06,
num__소계_평균가격_원_tCO2eq,0.0336528847004225,613 (11.15%),-0.00 ± 0.05,
num__소계_평균가격_원_tCO2eq,0.2161082152982763,614 (11.16%),0.01 ± 0.05,
num__소계_평균가격_원_tCO2eq,0.2551277470771159,614 (11.16%),-0.01 ± 0.07,
num__소계_평균가격_원_tCO2eq,0.37671260809998,614 (11.16%),-0.01 ± 0.06,
num__소계_평균가격_원_tCO2eq,1.2025219786673405,614 (11.16%),-0.00 ± 0.06,
num__소계_평균가격_원_tCO2eq,1.5101519672117116,614 (11.16%),0.00 ± 0.06,
num__경쟁_평균가격_원_tCO2eq,-1.7059666700215257,614 (11.16%),0.00 ± 0.06,"$F$=6.25, $p$<0.001"
num__경쟁_평균가격_원_tCO2eq,-1.343931889586209,595 (10.82%),0.00 ± 0.06,
num__경쟁_평균가격_원_tCO2eq,-0.4053534538457319,608 (11.05%),-0.00 ± 0.06,
num__경쟁_평균가격_원_tCO2eq,0.0452295445480426,614 (11.16%),-0.01 ± 0.07,
num__경쟁_평균가격_원_tCO2eq,0.089340280431407,614 (11.16%),-0.01 ± 0.06,
num__경쟁_평균가격_원_tCO2eq,0.1439068944500875,613 (11.15%),-0.00 ± 0.05,
num__경쟁_평균가격_원_tCO2eq,0.3000915740963705,614 (11.16%),0.01 ± 0.05,
num__경쟁_평균가격_원_tCO2eq,1.3643039205565035,614 (11.16%),0.00 ± 0.06,
num__경쟁_평균가격_원_tCO2eq,1.4670655978551566,614 (11.16%),-0.00 ± 0.06,
num__경쟁_거래량_천톤,-0.6473011966844767,595 (10.82%),0.00 ± 0.06,"$F$=6.25, $p$<0.001"
num__경쟁_거래량_천톤,-0.548987523624449,608 (11.05%),-0.00 ± 0.06,
num__경쟁_거래량_천톤,-0.4231499331438366,614 (11.16%),-0.00 ± 0.06,
num__경쟁_거래량_천톤,-0.422954381332678,613 (11.15%),-0.00 ± 0.05,
num__경쟁_거래량_천톤,-0.4144478775472752,614 (11.16%),0.01 ± 0.05,
num__경쟁_거래량_천톤,-0.245833328375701,614 (11.16%),0.00 ± 0.06,
num__경쟁_거래량_천톤,-0.1035204978049696,614 (11.16%),-0.01 ± 0.07,
num__경쟁_거래량_천톤,0.01381058889024,614 (11.16%),-0.01 ± 0.06,
num__경쟁_거래량_천톤,2.7663001068542794,614 (11.16%),0.00 ± 0.06,
num__협의_평균가격_원_tCO2eq,-1.6134680606210572,595 (10.82%),0.00 ± 0.06,"$F$=6.25, $p$<0.001"
num__협의_평균가격_원_tCO2eq,-1.4052600258349368,614 (11.16%),0.00 ± 0.06,
num__협의_평균가격_원_tCO2eq,-0.50099885285872,608 (11.05%),-0.00 ± 0.06,
num__협의_평균가격_원_tCO2eq,-0.0445622607850106,614 (11.16%),-0.01 ± 0.07,
num__협의_평균가격_원_tCO2eq,0.0623279955163796,613 (11.15%),-0.00 ± 0.05,
num__협의_평균가격_원_tCO2eq,0.2418293263984932,614 (11.16%),0.01 ± 0.05,
num__협의_평균가격_원_tCO2eq,0.391104186699329,614 (11.16%),-0.01 ± 0.06,
num__협의_평균가격_원_tCO2eq,1.2764527076917294,614 (11.16%),-0.00 ± 0.06,
num__협의_평균가격_원_tCO2eq,1.5378525761823332,614 (11.16%),0.00 ± 0.06,
num__협의_거래대금_억원,-1.0017747939242898,614 (11.16%),0.00 ± 0.06,"$F$=6.25, $p$<0.001"
num__협의_거래대금_억원,-0.9950135723670314,595 (10.82%),0.00 ± 0.06,
num__협의_거래대금_억원,-0.8651981184676685,614 (11.16%),-0.01 ± 0.07,
num__협의_거래대금_억원,-0.827335277747021,614 (11.16%),-0.01 ± 0.06,
num__협의_거래대금_억원,-0.5109101088673239,608 (11.05%),-0.00 ± 0.06,
num__협의_거래대금_억원,0.4965119031641903,614 (11.16%),-0.00 ± 0.06,
num__협의_거래대금_억원,0.6466110217353287,614 (11.16%),0.00 ± 0.06,
num__협의_거래대금_억원,1.324085421772629,614 (11.16%),0.01 ± 0.05,
num__협의_거래대금_억원,1.7000093403562004,613 (11.15%),-0.00 ± 0.05,
num__소계_거래대금_억원,-1.7945287650307282,595 (10.82%),0.00 ± 0.06,"$F$=6.25, $p$<0.001"
num__소계_거래대금_억원,-1.4613483532118463,608 (11.05%),-0.00 ± 0.06,
num__소계_거래대금_억원,-0.6473253569401678,613 (11.15%),-0.00 ± 0.05,
num__소계_거래대금_억원,0.1175552920695868,614 (11.16%),-0.01 ± 0.07,
num__소계_거래대금_억원,0.3366972425390278,614 (11.16%),0.00 ± 0.06,
num__소계_거래대금_억원,0.5297396688645761,614 (11.16%),0.01 ± 0.05,
num__소계_거래대금_억원,0.605451801966679,614 (11.16%),-0.00 ± 0.06,
num__소계_거래대금_억원,1.0369169083094087,614 (11.16%),-0.01 ± 0.06,
num__소계_거래대금_억원,1.205975988124353,614 (11.16%),0.00 ± 0.06,
num__fe_유동자산_유동부채,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.07, $p$<0.001"
num__당좌비율,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.07, $p$<0.001"
num__유동비율,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.07, $p$<0.001"
num__종업원수증가율,Mean ± SD,-0.00 ± 0.99,-,"$r$=-0.06, $p$<0.001"
num__당기순이익지배기업지분_연결,Mean ± SD,-0.00 ± 0.99,-,"$r$=-0.06, $p$<0.001"
num__경매_평균가격_원_tCO2eq,-2.0868461608580757,614 (11.16%),0.00 ± 0.06,"$F$=6.07, $p$<0.001"
num__경매_평균가격_원_tCO2eq,-1.1317557740746618,608 (11.05%),-0.00 ± 0.06,
num__경매_평균가격_원_tCO2eq,-0.0510182468421779,614 (11.16%),0.01 ± 0.05,
num__경매_평균가격_원_tCO2eq,0.0768664454231088,"1,822 (33.13%)",-0.01 ± 0.06,
num__경매_평균가격_원_tCO2eq,0.6156000750198081,614 (11.16%),-0.01 ± 0.06,
num__경매_평균가격_원_tCO2eq,1.10872207143979,614 (11.16%),-0.00 ± 0.06,
num__경매_평균가격_원_tCO2eq,1.306142989378261,614 (11.16%),0.00 ± 0.06,
num__법인세비용차감전계속영업이익손실_연결,Mean ± SD,-0.00 ± 0.98,-,"$r$=-0.06, $p$<0.001"
num__영업이익손실_연결,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.05, $p$<0.001"
num__노동소득분배율,Mean ± SD,0.00 ± 0.62,-,"$r$=0.05, $p$<0.001"
num__KSIC중분류_EBITDA대매출액,Mean ± SD,0.00 ± 0.99,-,"$r$=-0.05, $p$<0.001"
num__부가가치(종업원1인당),Mean ± SD,-0.01 ± 0.85,-,"$r$=-0.05, $p$<0.001"
cat__Trucost산업_Food Products,0.0,"5,260 (95.64%)",-0.00 ± 0.06,"$T$=-3.68, $p$<0.001"
cat__Trucost산업_Food Products,1.0,240 (4.36%),0.00 ± 0.02,
num__노동생산성,Mean ± SD,-0.01 ± 0.84,-,"$r$=-0.05, $p$<0.001"
num__fe_현금_자산,Mean ± SD,-0.00 ± 1.00,-,"$r$=-0.05, $p$<0.001"
cat__Scope2사업장간접보고추정구분_반려됨,0.0,"5,263 (95.69%)",-0.00 ± 0.06,"$T$=3.42, $p$<0.001"
cat__Scope2사업장간접보고추정구분_반려됨,1.0,237 (4.31%),-0.01 ± 0.05,
num__노동생산성__lag1,Mean ± SD,-0.04 ± 0.79,-,"$r$=-0.05, $p$<0.001"
num__fe_감가상각부담,Mean ± SD,-0.00 ± 1.00,-,"$r$=0.04, $p$=0.00"
cat__NICS산업분류_N30202.식품,0.0,"5,242 (95.31%)",-0.00 ± 0.06,"$T$=-3.19, $p$=0.00"
cat__NICS산업분류_N30202.식품,1.0,258 (4.69%),0.00 ± 0.03,
cat__Scope2사업장간접자료출처_Exact Value from CDP,0.0,"5,355 (97.36%)",-0.00 ± 0.06,"$T$=-3.10, $p$=0.00"
cat__Scope2사업장간접자료출처_Exact Value from CDP,1.0,145 (2.64%),0.01 ± 0.05,
missing__missingindicator_EBITDA,0.0,"5,431 (98.75%)",-0.00 ± 0.06,"$T$=-3.13, $p$=0.00"
missing__missingindicator_EBITDA,1.0,69 (1.25%),0.02 ± 0.06,
