Feature,Feature Importance (Gini/Gain),Importance (%),Cumulative Importance (%)
num__fe_영업이익_매출,0.048117210443098114,4.811721044309811,4.811721044309811
num__EBITDA대매출액,0.046854544069710985,4.685454406971099,9.49717545128091
num__영업이익손실_연결,0.03580564572191387,3.5805645721913875,13.077740023472298
num__EBITDA대금융비용,0.03483686015429045,3.483686015429045,16.561426038901345
num__영업이익이자보상비율,0.032577181676960755,3.2577181676960754,19.81914420659742
num__EBITDA,0.02410392916951796,2.4103929169517957,22.229537123549218
num__EBITDA대매출액__lag1,0.0199618923352018,1.9961892335201799,24.225726357069398
num__총자본순이익율,0.019491503452632394,1.9491503452632393,26.174876702332636
num__EBITDA대매출액__diff1,0.019119293007929052,1.9119293007929052,28.08680600312554
num__매출액순이익율,0.019004553001733742,1.9004553001733742,29.987261303298915
num__법인세비용차감전계속영업이익손실_연결,0.018351386094658008,1.8351386094658009,31.822399912764716
num__당기순이익지배기업지분_연결,0.01683715259444568,1.6837152594445681,33.506115172209284
num__매출액총이익율,0.016674029737943023,1.6674029737943024,35.17351814600359
num__자기자본순이익율,0.014887422841531302,1.4887422841531301,36.66226043015672
num__fe_판관비율__diff1,0.012965447122000323,1.2965447122000322,37.95880514235675
num__매출총이익손실_연결,0.011661802516665227,1.1661802516665227,39.12498539402328
num__수익_연결,0.010093800874547981,1.009380087454798,40.13436548147808
num__총자본회전율,0.009843204055279359,0.9843204055279359,41.118685887006016
num__매출원가_연결,0.009224692448434319,0.9224692448434318,42.04115513184945
num__fe_signed_log1p_수익_연결,0.008995150578058669,0.8995150578058669,42.940670189655314
num__fe_영업현금흐름_자산,0.00873523330615156,0.873523330615156,43.81419352027047
num__총수익_연결,0.008574970859424637,0.8574970859424637,44.671690606212934
num__매출채권_연결,0.007917506710335332,0.7917506710335331,45.46344127724647
num__종업원수증가율,0.007755333982164841,0.7755333982164841,46.23897467546295
num__총매출_백만USD,0.007240569278386091,0.7240569278386091,46.96303160330156
num__Scope3협력사간접배출량_tCO2e,0.0072221274708036435,0.7222127470803643,47.68524435038192
num__fe_Scope1_2_tCO2e,0.006854161665480636,0.6854161665480636,48.37066051692999
num__온실가스직접외부비용_백만USD,0.006826169673097043,0.6826169673097043,49.05327748423969
num__당좌비율,0.006761298243852339,0.676129824385234,49.72940730862493
num__Scope2사업장간접배출량_tCO2e,0.006686202911165361,0.6686202911165361,50.39802759974147
num__fe_현금_자산,0.006653192801274671,0.6653192801274671,51.06334687986894
num__fe_Scope3_매출집약도__diff1,0.006557077513563421,0.6557077513563421,51.719054631225276
num__fe_signed_log1p_연간급여총액,0.006505854707517571,0.6505854707517571,52.36964010197703
num__Scope1직접배출량_tCO2e,0.0065024087815838995,0.6502408781583899,53.019880980135426
num__fe_유동자산_유동부채,0.006463703790699625,0.6463703790699625,53.66625135920539
num__매입채무_연결,0.006280155166913145,0.6280155166913145,54.2942668758967
num__영업활동으로인한현금흐름_연결,0.006262345238141521,0.6262345238141521,54.92050139971086
num__fe_signed_log1p_Scope2사업장간접배출량_tCO2e,0.00621207219109643,0.621207219109643,55.5417086188205
num__fe_판관비율,0.006166850864070401,0.6166850864070401,56.15839370522754
num__fe_signed_log1p_Scope1직접배출량_tCO2e,0.006117261266938343,0.6117261266938343,56.77011983192137
num__fe_재고자산비중__diff1,0.00610699247399492,0.610699247399492,57.380819079320865
num__fe_signed_log1p_Scope3협력사간접배출량_tCO2e,0.00599081885968101,0.599081885968101,57.97990096528897
num__매출채권회전율,0.005990271997735272,0.5990271997735273,58.5789281650625
num__부채비율,0.005929732743192358,0.5929732743192359,59.171901439381735
num__fe_감가상각부담,0.00583880624966685,0.583880624966685,59.755782064348416
num__fe_Scope1_2_매출집약도__diff1,0.005686493985027817,0.5686493985027817,60.3244314628512
num__재고자산계_연결,0.0056539120374822895,0.5653912037482289,60.88982266659943
