연도,Trucost기업ID,Trucost기업명,Trucost기업유형,Trucost설립국가,Trucost산업,종목코드,종목명,업체명,대표자,시장구분,NICS산업분류,주식업종,KSIC대분류_11차,KSIC중분류_11차,KSIC소분류_11차,KSIC세분류_11차,Scope1직접배출량_tCO2e,Scope1자료출처,Scope1보고추정구분,Scope2사업장간접배출량_tCO2e,Scope2사업장간접자료출처,Scope2사업장간접보고추정구분,Scope3협력사간접배출량_tCO2e,Scope3자료출처,Scope3보고추정구분,총매출_백만USD,온실가스직접외부비용_백만USD,매출대비온실가스직접외부비용비율_pct,자산총계_연결,부채와자본총계_연결,유동자산계_연결,비유동자산계_연결,현금및현금성자산_연결,매출채권_연결,재고자산계_연결,유형자산계_연결,무형자산계_연결,부채총계_연결,유동부채계_연결,비유동부채계_연결,매입채무_연결,자본총계_연결,자본금_연결,지배기업소유주지분_연결,수익_연결,총수익_연결,매출원가_연결,매출총이익손실_연결,판매비와관리비_연결,영업이익손실_연결,이자수익_연결,이자비용_연결,법인세비용차감전계속영업이익손실_연결,당기순이익지배기업지분_연결,EBITDA,영업활동으로인한현금흐름_연결,유형자산_투자부동산감가상각비_연결,무형자산상각비_연결,유무형리스자산의증가_연결,기말종가,기말종가수정,기말시가총액,기말시가총액_보통주우선주,평균시가총액,평균시가총액_보통주우선주,상장주식수_보통주,기말발행주식수_보통주,변동성,기부금_원,기부금_출처,평균근속월수,연간급여총액,종업원평균급여,고용형태별직원수-정규직,고용형태별직원수-병역특례,고용형태별직원수-인턴직,고용형태별직원수-계약직,고용형태별직원수-파견직,고용형태별직원수-위촉직,고용형태별직원수-프리랜서,인건비,종업원수증가율,종업원1인당인건비,종업원1인당인건비증가율,노동생산성,노동소득분배율,자본집약도_종업원1인당,배출권_사전할당량,배출권_추가할당량,배출권_인증배출량_tCO2eq,배출권_에너지사용량_TJ,배출권_할당취소량,배출권_이월량,배출권_차입량,배출권_상쇄량,배출권_시장총수량,ESG등급,환경등급,사회등급,지배구조등급
2015,2481334,Kia Corporation,Public Company,South Korea,Automobiles,A000270,기아,기아(주),송호성,코스피,N25102.자동차,KGS10P.운수장비,C00000.제조업(10~34),C30000.자동차 및 트레일러 제조업,C30100.자동차용 엔진 및 자동차 제조업,C30120.자동차 제조업,384843.08200000005,Value summed up from data provided in Environmental/CSR,산출값,823489.00000004,Value summed up from data provided in Environmental/CSR,산출값,11709936.439537851,Extrapolated from prior year,외삽값,43754.4531,14.018469985617726,0.0320389560202679,45980100000000.0,45980100000000.0,18390800000000.0,27589300000000.0,1104930000000.0,2388910000000.0,7695350000000.0,13042100000000.0,2133790000000.0,21776100000000.0,14579500000000.0,7196600000000.0,5885650000000.0,24204000000000.0,2139320000000.0,24204000000000.0,49521400000000.0,49521400000000.0,39653800000000.0,9867680000000.0,7513410000000.0,2354270000000.0,173965000000.0,89060000000.0,3100270000000.0,2630600000000.0,3353120000000.0,3375250000000.0,969287000000.0,453210000000.0,4576030000000.0,52600.0,52600.0,21322100000000.0,21322100000000.0,19800400000000.0,21322100000000.0,405363347.0,405363347.0,0.29476524,,missing,236,3.31032E+12,86500000,0,,,0,,,,,-0.00168664,,0,,,952903.51,851469,6746,787407,15888,9334,61474,,,533816150,B+,B+,A,B
2015,4807080,"SP Samhwa Co., Ltd.",Public Company,South Korea,Chemicals,A000390,SP삼화,에스피삼화(주),배맹달/김현정,코스피,N20102.건축 제품,KGS04P.화학,C00000.제조업(10~34),C20000.화학 물질 및 화학제품 제조업,C20400.기타 화학제품 제조업,"C20410.잉크, 페인트, 코팅제 및 유사제품 제조업",,,,,,,,,,,,,511933000000.0,511933000000.0,248595000000.0,263338000000.0,41136210000.0,115478000000.0,83703661000.0,223792000000.0,7264793000.0,224114000000.0,146393000000.0,77720906000.0,71456924000.0,287819000000.0,11334285000.0,287481000000.0,507188000000.0,510566000000.0,393269000000.0,113919000000.0,82227763000.0,31691166000.0,422993000.0,4482154000.0,29523184000.0,24827591000.0,25078930000.0,29222897000.0,9647771000.0,993241000.0,29720478000.0,12700.0,12700.0,284480000000.0,284480000000.0,344531000000.0,284480000000.0,22400000.0,22668570.0,0.57668778,60970000,xml_table,113,48335000000,45500000,0,,,0,,,,,0.06060606,,0,,,480713.61,,,,,,,,,533816150,미공개,B+,B+,C
2015,5546719,"Daewon Kang Up Co., Ltd.",Public Company,South Korea,Automobile Components,A000430,대원강업,대원강업(주),박민희/김항수,코스피,N25101.자동차 부품,KGS10P.운수장비,C00000.제조업(10~34),C30000.자동차 및 트레일러 제조업,C30300.자동차 신품 부품 제조업,C30390.자동차용 기타 신품 부품 제조업,29823.852068640383,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,29391.50475154384,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,420956.6627633696,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,893.50572309195,1.0855343021370232,0.1214915891507179,1157470000000.0,1157470000000.0,394061000000.0,763408000000.0,34185840000.0,207036000000.0,112281000000.0,697258000000.0,11815412000.0,647095000000.0,500135000000.0,146960000000.0,156012000000.0,510374000000.0,31000000000.0,419387000000.0,1013040000000.0,1013040000000.0,885507000000.0,127529000000.0,74730877000.0,52798318000.0,610370000.0,12075057000.0,37552009000.0,18882890000.0,43743674000.0,96774203000.0,44960158000.0,265386000.0,64204046000.0,4840.0,4840.0,300080000000.0,300080000000.0,335824000000.0,300080000000.0,62000000.0,62000000.0,0.2522761,44711000,xml_table,220,76628000000,61500000,0,,,0,,,,,0.00590551,113196.44,-0.99999985,167558.46,67.56,747674.44,30677,,30102,604,,575,,,533816150,미공개,B+,미공개,C
2015,9221388,"Joong Ang Enervis Co., Ltd",Public Company,South Korea,"Oil, Gas and Consumable Fuels",A000440,중앙에너비스,(주)중앙에너비스,한상열/한상은,코스닥,"N10102.석유, 가스, 소모 연료",,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,G46700.기타 전문 도매업,"G46710.연료, 연료용 광물 및 관련제품 도매업",,,,,,,,,,,,,77370624000.0,77370624000.0,13384898000.0,63985726000.0,645080000.0,6877000000.0,4569753000.0,53918673000.0,2314604000.0,26672089000.0,21169633000.0,5502457000.0,3139188000.0,50698534000.0,3113565000.0,46220557000.0,90446910000.0,90446910000.0,69261774000.0,21185136000.0,19050978000.0,2134158000.0,13341000.0,535081000.0,1450797000.0,866451000.0,2303195000.0,4007351000.0,1791813000.0,51127000.0,5474359000.0,28350.0,5670.0,35307827100.0,35307827100.0,37435346152.0,35307827100.0,1245426.0,1245426.0,0.45822565,,missing,93,3663000000,29500000,0,,,0,,,,,-0.03669725,,0,,,600537.1,,,,,,,,,533816150,,,,
2015,5395336,"CR Holdings Co., LTD.",Public Company,South Korea,Construction Materials,A000480,CR홀딩스,(주)시알홀딩스,강문수,코스피,N15104.금속과 채광,KGS06P.비금속광물,C00000.제조업(10~34),C23000.비금속 광물제품 제조업,"C23200.내화, 비내화 요업제품 제조업",C23210.내화 요업제품 제조업,237354.2882221421,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,36812.79169599405,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,185958.9632141926,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,690.650752205493,8.651141143094913,1.2526072136269668,903697000000.0,903697000000.0,336561000000.0,567136000000.0,29123097000.0,123532000000.0,120607000000.0,377366000000.0,9075679000.0,302413000000.0,227008000000.0,75405059000.0,63878767000.0,601284000000.0,20000000000.0,512775000000.0,728338000000.0,728338000000.0,637513000000.0,90824412000.0,64957156000.0,25867256000.0,330343000.0,4950351000.0,22240193000.0,15616552000.0,35461310000.0,51551245000.0,35139824000.0,234885000.0,45276616000.0,86300.0,8630.0,345200000000.0,345200000000.0,417116000000.0,345200000000.0,4000000.0,4000000.0,0.2774406,1196825000,xml_table,245,29131000000,39500000,0,,,0,,,,,0.01272727,,0,,,1090184.32,,,,,,,,,533816150,미공개,미공개,미공개,C
2015,20341922,Daedong Corporation,Public Company,South Korea,Machinery,A000490,대동,(주)대동,김준식/원유현,코스피,N20106.기계,KGS08P.기계,C00000.제조업(10~34),C29000.기타 기계 및 장비 제조업,C29200.특수 목적용 기계 제조업,C29210.농업 및 임업용 기계 제조업,,,,,,,,,,,,,688285000000.0,688285000000.0,382868000000.0,305417000000.0,11179950000.0,118154000000.0,236746000000.0,247396000000.0,17227335000.0,455163000000.0,325097000000.0,130066000000.0,100778000000.0,233123000000.0,23728210000.0,227782000000.0,583473000000.0,583473000000.0,452143000000.0,131330000000.0,125897000000.0,5433244000.0,974938000.0,6301597000.0,5031500000.0,3334790000.0,20781955000.0,15423255000.0,24100418000.0,1635864000.0,21363339000.0,9170.0,9170.0,217588000000.0,217588000000.0,247758000000.0,247758000000.0,23728210.0,23728210.0,0.34919696,635517000,xml_table,211,53274000000,54000000,0,,,0,,,,,0.01713586,,0.03759253,112976.47,71.63,712020.35,,,,,,,,,533816150,미공개,미공개,미공개,C
2015,883357,SK hynix Inc.,Public Company,South Korea,Semiconductors and Semiconductor Equipment,A000660,SK하이닉스,에스케이하이닉스(주),곽노정,코스피,N45301.반도체 및 반도체장비,"KGS09P.전기,전자",C00000.제조업(10~34),"C26000.전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",C26100.반도체 제조업,"C26120.다이오드, 트랜지스터 및 유사 반도체 소자 제조업",1054115.372600011,Exact Value from CDP,보고값,2997367.999999987,Exact Value from CDP,보고값,2502347.899029308,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,16608.8889,68.75574680519185,0.4139695750821227,29677900000000.0,29677900000000.0,9760030000000.0,19917900000000.0,1175720000000.0,2628450000000.0,1923380000000.0,16966300000000.0,1704900000000.0,8290200000000.0,4840700000000.0,3449510000000.0,791373000000.0,21387700000000.0,3657650000000.0,21386900000000.0,18798000000000.0,18798000000000.0,10515400000000.0,8282650000000.0,2946550000000.0,5336100000000.0,40715000000.0,118505000000.0,5269120000000.0,4322360000000.0,8060950000000.0,9319520000000.0,3695160000000.0,258078000000.0,7398370000000.0,30750.0,30750.0,22386100000000.0,22386100000000.0,29332200000000.0,22386100000000.0,728002365.0,728002365.0,0.36033169,,missing,127,2.0058E+12,88500000,0,,,0,,,,,0.02728412,,0,,,1221624.69,2450922,0,2796370,46064,1770,,275377,44949,533816150,B+,B+,B+,B+
2015,4493620,Young Poong Corporation,Public Company,South Korea,Metals and Mining,A000670,영풍,(주)영풍,김기호,코스피,N15104.금속과 채광,KGS07P.철강및금속,C00000.제조업(10~34),C24000.1차 금속 제조업,C24200.1차 비철금속 제조업,"C24210.비철금속 제련, 정련 및 합금 제조업",488101.3173453254,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,355839.6015484096,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,700580.0356828871,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,2385.925827101035,17.765607606090036,0.7446001633535999,3987890000000.0,3987890000000.0,988793000000.0,2999090000000.0,167881000000.0,272015000000.0,342688000000.0,1022190000000.0,10677102000.0,984446000000.0,489924000000.0,494523000000.0,213098000000.0,3003440000000.0,9210200000.0,2580450000000.0,2615380000000.0,2615380000000.0,2503810000000.0,111573000000.0,117096000000.0,-5522303000.0,5879472000.0,8321263000.0,114651000000.0,128922000000.0,107527000000.0,210133000000.0,227207000000.0,1333300000.0,105571000000.0,1097000.0,109700.0,2020720000000.0,2020720000000.0,2409060000000.0,2020720000000.0,1842040.0,1842040.0,0.25908267,249450000,xml_table,89,27304000000,35000000,0,,,0,,,,,0.10689655,,0,,,3175475.97,1124195,0,1165931,19059,82547,,99218,,533816150,미공개,B+,미공개,C
2015,883414,"Eusu Holdings Co., Ltd.",Public Company,South Korea,Marine Transportation,A000700,유수홀딩스,(주)유수홀딩스,송영규,코스피,N20105.복합기업,,K00000.금융 및 보험업(64~66),K64000.금융업,K64900.기타 금융업,K64990.그 외 기타 금융업,11959.38112171493,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,5620.661074075587,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,31247.02428849635,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,456.2347,0.4352851820770245,0.0954081708552691,464546000000.0,464546000000.0,229691000000.0,234855000000.0,85346456000.0,92488365000.0,679180000.0,210454000000.0,5340897000.0,197438000000.0,85147447000.0,112291000000.0,43273174000.0,267108000000.0,65104530000.0,210603000000.0,516368000000.0,516368000000.0,382243000000.0,134125000000.0,66932889000.0,67192446000.0,2268976000.0,3484311000.0,70352494000.0,20926855000.0,7296825000.0,49068277000.0,2809456000.0,1011571000.0,16235655000.0,7780.0,7780.0,202605000000.0,202605000000.0,254749000000.0,202605000000.0,26041812.0,26041812.0,0.5411031,445500000,fs_api,135,1159000000,59000000,0,,,0,,,,,0.2,,0,,,15149462.94,,,,,,,,,533816150,미공개,미공개,미공개,B
2015,875574,"Hyundai Engineering & Construction Co.,Ltd.",Public Company,South Korea,Construction and Engineering,A000720,현대건설,현대건설(주),이한우,코스피,N20103.건설 및 엔지니어링,KGS12P.건설업,F00000.건설업(41~42),F41000.종합 건설업,,,285222.81289999565,Estimate based on partial data disclosure in CDP,추정치,194382.8281250275,Estimate based on partial data disclosure in CDP,추정치,3235785.1018190864,Estimate derived by applying revenue-based intensity factors to revenue data,추정치,16895.206298243156,10.381244880662566,0.0614449134115755,19350100000000.0,19350100000000.0,14228400000000.0,5121680000000.0,1997410000000.0,30353000000.0,1328560000000.0,1754190000000.0,857312000000.0,11959500000000.0,8575300000000.0,3384170000000.0,2864950000000.0,7390640000000.0,557273000000.0,5720290000000.0,19233200000000.0,19233200000000.0,17508100000000.0,1725040000000.0,635714000000.0,1089330000000.0,68973000000.0,103081000000.0,898137000000.0,420991000000.0,548584000000.0,596001000000.0,124085000000.0,71739000000.0,196310000000.0,28550.0,28550.0,3179210000000.0,3183240000000.0,4535280000000.0,1591620000000.0,111355765.0,111355765.0,0.41164839,,missing,138,5.18109E+11,58300000,0,,,0,,,,,-0.01965126,,0,,,1741144.55,,,73923,1396,,,,,533816150,B+,A,B+,B
