Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total
수입_중량_급증률_12개월,1,0.08171811336500569,0.5385420689687427
수출_중량_급증률_12개월,2,0.0981958894526012,0.6646630284527031
수출_중량_급증률_6개월,3,0.11399140942188495,0.9228149442516855
조치대상국의_한국_HS6_수입_비중_변화,4,0.26877347311394734,0.5320937516140942
수입_중량_급증률_6개월,5,0.098681889638931,0.2146856724352519
조치대상국의_한국_HS6_수입_비중_조치_후,6,0.14999429737004452,0.7022643009045691
hs6,7,0.5588406269523918,0.9048016664687653
수출_중량_급증률_3개월,8,-0.0778572667930569,-0.7951899236876124
수출_발생_월수_-_조치_전_12개월,9,-0.8881727576157387,-0.789008553909783
수입_발생_월수_-_조치_후_12개월,10,0.6615678596250262,0.738675654556246
발틱_운임지수_BDI,11,0.6428981176952996,0.3142052574549884
case_id,12,-0.5873800439718871,-0.5428162192581066
조치대상국_GDP_성장률,13,-0.3985965911719247,-0.3069190592741796
글로벌_무역_성장률,14,0.6768466849309259,0.5424813257717271
수출_발생_월수_-_조치_후_6개월,15,-0.7165431507433362,-0.6593149060499908
조치대상국의_한국_HS6_수입_비중_조치_전,16,-0.5242400025118595,-0.6902815647249353
조치대상국_1인당_GDP,17,0.799559848839178,0.8416819450241807
반덤핑_관세율,18,-0.4349293996888642,-0.6372792755734411
동일_HS6에_대한_미국_AD_조치_대상국_수,19,0.7190655737420256,0.7390690667103174
원·달러_환율_변화율,20,-0.6210998769390491,-0.6973246011095374
수입_발생_월수_-_조치_전_12개월,21,-0.5061518676397063,-0.43969986609360057
한국_수출_증가율,22,-0.18861506673543849,-0.15313582389875935
수출_발생_월수_-_조치_후_3개월,23,-0.8845174744358376,-0.7860453979410041
브렌트_원유_가격,24,-0.5002361503787649,-0.6571537100909725
inv_cty,25,-0.44749134781165584,-0.5769674973968539
수입_중량_급증률_3개월,26,0.11947615893802775,-0.3458181162839365
조치대상국_통화의_원화_환율_변화율,27,0.3814805193539016,0.8215281311943871
조치대상국-한국_간_인구가중_거리,28,0.6474123839230358,0.608453228669203
iso2,29,-0.6440943359299091,-0.7059975756134544
조치대상국발_한국_HS6_수입_집중도,30,-0.5664804083787764,-0.7632926416538651
조치대상국의_대미_UN_투표_일치율,31,0.3434380901316234,0.6801618532824599
한국_GDP_성장률,32,-0.7444815788554999,-0.8826276898665578
조치대상국의_대미_무역수지,33,0.10977949700360427,0.4019476994784261
글로벌_HS6_수출_규모,34,0.2583768842273104,-0.39544852378466855
미국_GDP_성장률,35,0.31266227142500314,-0.16554644459807086
수출_발생_월수_-_조치_후_12개월,36,-0.05698887207910698,-0.024445714367147688
한국_제조업_생산_증가율,37,-0.2453646714537562,-0.5499268813952685
수출_발생_월수_-_조치_전_6개월,38,-0.14461614172909668,-0.18455513852360053
미국의_연간_반덤핑_조치_건수,39,-0.5052105327260633,-0.6388129388645557
해당_HS6_최초_AD_조치_이후_경과_연수,40,0.2913087990924698,0.2720188990492596
HS_챕터,41,0.23323791916126071,0.467284785622024
수입_발생_월수_-_조치_후_6개월,42,0.3327488880046683,0.3595514851796393
조치대상국-미국_간_인구가중_거리,43,0.6995037714022079,0.7838239752899613
수출_발생_월수_-_조치_전_3개월,44,-0.06894374550327748,-0.0968332644062551
수입_발생_월수_-_조치_전_6개월,45,0.356623895140673,0.33964781732377
수입_발생_월수_-_조치_전_3개월,46,-0.6193860837533398,-0.6674080707983161
중국_GDP_성장률,47,-0.5329133679411856,-0.26678092209296506
반덤핑_조치_시행_이후_경과_월수,48,0.04196248106611206,0.008874791114517526
p_ad_yyyymm,49,0.6130504277075194,0.7399963960928618
수입_발생_월수_-_조치_후_3개월,50,0.5425152113656474,0.6560927572809603
반덤핑_조사_소요_기간,51,0.27189407380576214,0.29154667948620283
반덤핑_조치_부과_연도,52,0.2607814469083552,0.1852060096156109
