Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
CatBoost,Train set,206,101,100,3,2,0.9711538461538461,0.9805825242718447,0.970873786407767,0.9758454106280193,0.9757281553398058,0.9757281553398058,0.9973607314544255
CatBoost,Validation(CV),206,94,94,9,9,0.907222601959444,0.931904761904762,0.9023809523809524,0.9188346537183746,0.9171893147502903,0.917142857142857,0.9700000000000001
CatBoost,Test set,548,23,460,62,3,0.27058823529411763,0.8846153846153846,0.8812260536398467,0.4144144144144144,0.8813868613138686,0.8829207191276156,0.9638225758915413
CatBoost,Entire population,754,124,560,65,5,0.656084656084656,0.9612403100775194,0.896,0.779874213836478,0.9071618037135278,0.9286201550387597,0.9872992248062016
