Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_역성장(<-4.6%),DirectionPearson_역성장(<-4.6%),DirectionSpearman_역성장(<-4.6%),Rank_보합(-4.6%~3.1%),DirectionPearson_보합(-4.6%~3.1%),DirectionSpearman_보합(-4.6%~3.1%),Rank_성장(>3.1%),DirectionPearson_성장(>3.1%),DirectionSpearman_성장(>3.1%)
수입_중량_급증률_12개월,1,0.08171811336500569,0.5385420689687427,1,0.13751776855629355,0.4385751885006751,1,0.15607383613260553,0.5610769524749251,1,0.1170711423993931,0.6242807452139143
수출_중량_급증률_12개월,2,0.0981958894526012,0.6646630284527031,2,0.1432515702012335,0.6573606720843631,2,0.06822463793995596,0.647767568851273,2,0.1310667658158865,0.7036620129913808
수출_중량_급증률_6개월,3,0.11399140942188495,0.9228149442516855,3,0.17402167482134895,0.9417541863933169,3,0.21258721015295587,0.895795232058016,3,0.2624003106998763,0.9222219188395606
조치대상국의_한국_HS6_수입_비중_변화,4,0.26877347311394734,0.5320937516140942,4,0.3323624183566076,0.4949369417953182,4,0.2374878905669559,0.5156944226320754,4,0.2529262590079308,0.6148306865568649
수입_중량_급증률_6개월,5,0.098681889638931,0.2146856724352519,6,0.18161575543515665,0.012518604978408333,5,0.25255896092778346,0.30847668073043366,5,0.34082689368868957,0.3291179876990891
조치대상국의_한국_HS6_수입_비중_조치_후,6,0.14999429737004452,0.7022643009045691,5,-0.009134548110385235,0.609926402783579,6,0.22960954001760672,0.7262847681744699,6,0.4259742233673408,0.7564158893663618
hs6,7,0.5588406269523918,0.9048016664687653,8,0.534876047328907,0.92255299151118,7,0.45123392703304216,0.896311788433901,7,0.7072624857729561,0.800620151923861
수출_중량_급증률_3개월,8,-0.0778572667930569,-0.7951899236876124,7,-0.2922270538119673,-0.8326143825557161,8,-0.2782141487318035,-0.8150948353280786,8,-0.12363333152344588,-0.751382423225505
수출_발생_월수_-_조치_전_12개월,9,-0.8881727576157387,-0.789008553909783,9,-0.8743748305827126,-0.7620247885540007,9,-0.8973392589071965,-0.8048608462072505,12,-0.8876923084746752,-0.7760733181519041
수입_발생_월수_-_조치_후_12개월,10,0.6615678596250262,0.738675654556246,10,0.6026354165523373,0.696683971433664,10,0.6669691081726535,0.7890206016556606,19,0.721334071462107,0.6616629367575643
