Feature,Rank_Total,DirectionPearson_Total,DirectionSpearman_Total,Rank_소수(<8개국),DirectionPearson_소수(<8개국),DirectionSpearman_소수(<8개국),Rank_중간(8~23개국),DirectionPearson_중간(8~23개국),DirectionSpearman_중간(8~23개국),Rank_다수(>23개국),DirectionPearson_다수(>23개국),DirectionSpearman_다수(>23개국)
수입_중량_급증률_12개월,1,0.08171811336500569,0.5385420689687427,1,0.11108085983447978,0.6529741767928392,1,0.1319401100634406,0.5449443935327293,1,0.18434280575020065,0.40845312861075644
수출_중량_급증률_12개월,2,0.0981958894526012,0.6646630284527031,2,0.13842404780885165,0.7035733350536427,2,0.06300536060379992,0.6155538079019885,2,0.21560334838533218,0.6970998787268118
수출_중량_급증률_6개월,3,0.11399140942188495,0.9228149442516855,3,0.18605229406309715,0.9293305391639078,3,0.43633049626297027,0.9186841229565702,3,0.1736138345931187,0.8924371490318656
조치대상국의_한국_HS6_수입_비중_변화,4,0.26877347311394734,0.5320937516140942,4,0.22449442394440045,0.7747867808405066,4,0.21860258126863205,0.6203708782159401,6,0.30941342305326164,0.15650972602688265
수입_중량_급증률_6개월,5,0.098681889638931,0.2146856724352519,5,0.12566012302331145,0.3054081747542554,6,0.19687096826118658,0.23925838255809037,5,0.30255328547420834,0.167056244161936
조치대상국의_한국_HS6_수입_비중_조치_후,6,0.14999429737004452,0.7022643009045691,6,0.40927795703897873,0.6087290362246898,5,0.1891773843880579,0.7258553568823075,4,0.00709429478871719,0.6026815160513536
hs6,7,0.5588406269523918,0.9048016664687653,7,0.7888099138936251,0.7716906452197477,7,0.45650294679588704,0.9045293119437693,10,0.8994291971055547,0.8842937350424573
수출_중량_급증률_3개월,8,-0.0778572667930569,-0.7951899236876124,8,-0.36160077788245126,-0.8023792150144271,8,-0.10787873726845626,-0.7885373839690637,7,-0.3455050101900317,-0.8016754058189114
수출_발생_월수_-_조치_전_12개월,9,-0.8881727576157387,-0.789008553909783,9,-0.8938923547242148,-0.7612526539199834,9,-0.8936311445190306,-0.7582570718385275,9,-0.8447464536208705,-0.7114809635705315
수입_발생_월수_-_조치_후_12개월,10,0.6615678596250262,0.738675654556246,22,0.6412911095692984,0.46103349929833093,10,0.6302657749523563,0.7735726922565377,8,0.6431734405114311,0.8337862253198461
발틱_운임지수_BDI,11,0.6428981176952996,0.3142052574549884,10,0.6624941059370858,0.3912686271884503,13,0.6077516527570093,0.30218140031444446,18,0.27457193262627594,0.26647033599708375
case_id,12,-0.5873800439718871,-0.5428162192581066,11,-0.7199155827823103,-0.7330858197745018,14,-0.5228917833097232,-0.47093117849790855,17,-0.2888295121863219,-0.1629336759204863
