Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
수입 중량 급증률 12개월,1.7963089184621512,44.1630093976497,3.0128120567443686,0.05567297784985931,0.21083124485000335,0.3150972975078311,0.7170431104147839,0.3215589764569186,해당 HS6 최초 AD 조치 이후 경과 연수,0.04109540295970696,1.0103477461234796,0.09256938844919205,-0.06069788876629666,-0.10927578516833943,-0.6303326719945508,-0.8261512858276647,-0.6303326719945511
수출 중량 급증률 12개월,1.4168860444420552,34.834738642651594,2.4159920963626176,0.3422033529130005,0.28144113421664585,0.3419704643703734,0.7234557705273107,0.3351651563037245,반덤핑 조치 부과 연도,0.025154654208543528,0.6184377412976384,0.05147404968738556,-0.07523001575518444,-0.01797108292191892,-0.8436626186039226,-0.8655282064217033,-0.8436626186039223
수입 중량 급증률 6개월,0.3026858099695495,7.441657797738137,0.5906618835016353,0.07238397584549931,0.17238337027094625,0.30470904499767787,0.6590564480496099,0.3130611651882738,수출 중량 급증률 3개월,0.024454996823910936,0.601236370567309,0.05798934772610664,0.058881129611270455,0.09034569552583321,-0.2136724269244116,-0.7460168284538782,-0.21367242692441146
조치대상국의 한국 HS6 수입 비중 변화,0.20674079734529577,5.082809355450109,0.49090175890437326,-0.09867231908269819,0.02061743235084188,0.3197814077900111,0.5894852150817008,0.32358755883603646,조치대상국 통화의 원화 환율 변화율,0.007992823305573712,0.19650691878766785,0.028024538948140394,-0.025677088984400333,-0.015487155333469105,-0.6219066925224653,-0.5571012083478889,-0.6191330651306599
수출 중량 급증률 6개월,0.12347973804740742,3.035801234275216,0.24397289057904464,0.15609780044332078,0.1379346980483239,0.35743556726175535,0.5916391417145553,0.3535941534488724,,,,,,,,,
글로벌 HS6 수출 규모,0.0793129115872577,1.949941251074863,0.1790949058674623,-0.018025795591303646,0.003085244921330362,0.32538633261513117,0.8691979412562951,0.32538633261513117,,,,,,,,,
수입 중량 급증률 3개월,0.018819546794695493,0.4626864641217654,0.03970857709646208,0.1746357604637009,0.2409529158033234,0.32435228075427286,0.8266708082795539,0.32435228075427275,,,,,,,,,
반덤핑 조치 시행 이후 경과 월수,0.0139994947181974,0.34418345889603513,0.028071090759846817,0.07224203350249578,0.013377782473921443,0.8367096912369003,0.7865466893837032,0.9187540514808428,,,,,,,,,
글로벌 무역 성장률,0.01052020344856017,0.2586436213664765,0.029388519590842287,0.09437928952574795,0.11898326645093234,0.7218736228979402,0.5692336687212147,0.7674014246097679,,,,,,,,,
