Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)",Feature,Importance,Importance Percentage,Contribution Range,"Ground Truth Correlation (Y, X)","Prediction Correlation (Y_hat, X)","Total Contribution Correlation (Y_shap, X)","Total Contribution Spearman Correlation (Y_shap, X)","Pure Main Effect Correlation (Y_pure, X)"
수입_중량_급증률_12개월,4.452248170940224,26.811946524506308,8.626447810084466,0.11033314201672567,0.10445576759902704,0.08171811336500578,0.5385420689687427,0.06252478435233458,수출_중량_급증률_3개월,0.35450130930719004,2.134847336240157,0.6302082726296738,-0.0012043166247525017,0.011042136562939998,-0.0778572667930569,-0.7951899236876124,-0.06953598449364035
수출_중량_급증률_12개월,3.939913745448271,23.72661015251045,7.584089154712521,-0.002922476962027324,0.024490945192831397,0.0981958894526012,0.6646630284527031,0.12541262097887107,수출_발생_월수_-_조치_전_12개월,0.32646540134148605,1.9660118993368967,0.6663577893500268,0.0003910662194939609,-0.015761664891874604,-0.8881727576157382,-0.789008553909783,-0.9362426494076304
수출_중량_급증률_6개월,1.0847920556996826,6.532741543355369,1.9713577932783548,0.060987040152905896,0.08127156469275987,0.11399140942188486,0.9228149442516855,0.13344966676026918,case_id,0.2234748631751464,1.3457911264092999,0.44979706483103954,-0.04455493628458402,-0.1174172882236118,-0.5873800439718873,-0.5428162192581066,-0.853990364091793
조치대상국의_한국_HS6_수입_비중_변화,0.6261914396717625,3.7709963034332232,1.6917192689991054,0.010719537606828703,0.03629340351778712,0.26877347311394734,0.5320937516140942,0.29587285338496105,조치대상국_GDP_성장률,0.20763453024600043,1.250398833994264,0.41171330440671206,0.006914516980936748,0.01936161958314294,-0.39859659117192464,-0.3069190592741796,-0.4172523350874598
수입_중량_급증률_6개월,0.552099411114979,3.3248056529382946,1.1634145640630758,0.010917114069289366,0.03243583446034666,0.09868188963893104,0.2146856724352519,0.1208210384179666,수출_발생_월수_-_조치_후_6개월,0.19093401063152032,1.1498263992055833,0.39871020748928043,0.05343498033253544,0.057605541586118275,-0.7165431507433363,-0.6593149060499908,-0.7965481308643079
조치대상국의_한국_HS6_수입_비중_조치_후,0.5374666765326981,3.236685655565247,1.080011990807907,0.01090804603886215,0.02080642798961085,0.14999429737004452,0.7022643009045691,0.10865687189986924,조치대상국의_한국_HS6_수입_비중_조치_전,0.1898151229637095,1.1430883299954973,0.4468484018645668,-0.009603479392833765,0.025510020666548762,-0.5242400025118595,-0.6902815647249353,-0.6260456829212835
hs6,0.3726443648528007,2.2441068870116347,0.7681089773978177,0.02502779828911076,0.010716044516213398,0.5588406269523916,0.9048016664687653,0.4927756935953097,반덤핑_관세율,0.17507635748833403,1.054329802485214,0.36607757680966785,0.04237075400699039,0.05499068727383217,-0.43492939968886424,-0.6372792755734411,-0.40568516638928226
수입_발생_월수_-_조치_후_12개월,0.24789912927906196,1.492876843902043,0.5644203131601012,0.1164121205926225,0.22442266945297074,0.6615678596250261,0.738675654556246,0.7444996427806514,원·달러_환율_변화율,0.17244214247293677,1.0384662590763192,0.4973226143958412,-0.011667420589922248,-0.036746748424769556,-0.6210998769390493,-0.6973246011095374,-0.6654492029271866
발틱_운임지수_BDI,0.22692848415079012,1.3665892260119368,0.5358718216026094,0.039607663674121746,0.1441434673553631,0.6428981176952997,0.3142052574549884,0.8639175908975297,수입_발생_월수_-_조치_전_12개월,0.17123068981824613,1.0311707529527965,0.3554881498163651,0.05586310530090109,0.1397570265820666,-0.5061518676397065,-0.43969986609360057,-0.5466199780023885
글로벌_무역_성장률,0.19897906303746885,1.1982746228026049,0.4378446287036586,0.01303420791877229,0.07669810391860665,0.6768466849309258,0.5424813257717271,0.630477170475048,한국_수출_증가율,0.12989953664889217,0.7822698323334333,0.28225754939118125,0.0035961926930626956,0.044687916563062244,-0.1886150667354384,-0.15313582389875935,-0.2529768328363925
조치대상국_1인당_GDP,0.1821753227696752,1.0970805814613218,0.3755365841668223,0.02108271567534598,0.03718921654216707,0.7995598488391776,0.8416819450241807,0.9386809549683409,수출_발생_월수_-_조치_후_3개월,0.12624121295981885,0.7602389896322157,0.30127275713848406,0.04210151826632153,0.04329801364701814,-0.8845174744358376,-0.7860453979410041,-0.9072803272338661
동일_HS6에_대한_미국_AD_조치_대상국_수,0.1745549719025759,1.0511899589932814,0.3519585232795951,-0.02785911551307227,-0.09700460933449682,0.7190655737420257,0.7390690667103174,0.8726223877129324,브렌트_원유_가격,0.1192190468335659,0.7179507039314809,0.25775509374061223,-0.014658343011005688,0.030153362489333365,-0.5002361503787648,-0.6571537100909725,-0.36151452807615436
수입_중량_급증률_3개월,0.11347369440560295,0.683351536017071,0.20843826933374598,-0.005693091975714445,0.00781720099722499,0.11947615893802772,-0.3458181162839365,0.16467541498321206,inv_cty,0.11902498156523832,0.7167820207411266,0.22935868249698044,-0.040221576567253,-0.0631046119398937,-0.44749134781165584,-0.5769674973968539,-0.43295486953727347
조치대상국_통화의_원화_환율_변화율,0.1092126050025923,0.6576907694058659,0.2213569718381928,-0.0020877398433979556,-0.021678679215331367,0.38148051935390154,0.8215281311943871,0.2787976169926488,iso2,0.09424034049696421,0.5675260840911905,0.18899970664782362,-0.03229570069477011,-0.06404656234851545,-0.644094335929909,-0.7059975756134544,-0.6611188437221642
조치대상국-한국_간_인구가중_거리,0.10539495247226507,0.6347004302418512,0.26799601778271886,-0.014792663166753962,-0.04820703372384886,0.6474123839230358,0.608453228669203,0.7003753332075763,조치대상국발_한국_HS6_수입_집중도,0.09283793524544262,0.5590806396402485,0.1941961668362188,-0.010873223379759786,0.02724057058470062,-0.5664804083787761,-0.7632926416538651,-0.6307654849709771
조치대상국의_대미_UN_투표_일치율,0.09234735146422647,0.5561262881300137,0.19202730957094583,0.008441399230769468,0.001557160676463786,0.3434380901316235,0.6801618532824599,0.3397554161326523,한국_GDP_성장률,0.08372870226827779,0.5042237992113747,0.18949658314282697,0.010675624643658684,0.016528411458508523,-0.7444815788554996,-0.8826276898665578,-0.7720586691359274
조치대상국의_대미_무역수지,0.07486154792076816,0.4508247839135,0.15273028259778149,0.02573535586436823,0.06660687038929154,0.10977949700360433,0.4019476994784261,0.6057486440551438,수출_발생_월수_-_조치_후_12개월,0.06291503930435681,0.3788815458279797,0.12720913702105516,0.06252565641802181,0.06930514090235387,-0.056988872079106974,-0.024445714367147688,-0.17630251693742552
글로벌_HS6_수출_규모,0.07032248845079354,0.4234900498403065,0.13694248299974568,0.03204679939612617,0.06447355288187492,0.25837688422731037,-0.39544852378466855,0.6877399159013836,한국_제조업_생산_증가율,0.060532736870555416,0.3645350487308075,0.12150865939072317,0.017631492356702562,0.046761306836628706,-0.24536467145375634,-0.5499268813952685,-0.1502949613057209
미국_GDP_성장률,0.0674240649627982,0.40603541286100864,0.1271482762232383,0.017485823993289903,0.026167932795645023,0.31266227142500325,-0.16554644459807086,0.271273960797204,수출_발생_월수_-_조치_전_6개월,0.05713625816598051,0.34408106640496255,0.11847370963481588,0.01046529842633436,-2.3033058220576947e-05,-0.14461614172909684,-0.18455513852360053,-0.5402945164766613
해당_HS6_최초_AD_조치_이후_경과_연수,0.04903226976724915,0.2952779235343083,0.09120568207452218,-0.017665020861907826,-0.059680974648765664,0.29130879909246976,0.2720188990492596,0.20455179321924322,미국의_연간_반덤핑_조치_건수,0.049652561145322266,0.2990133889935477,0.10132230342343601,-0.037140102750783846,-0.09438209677901771,-0.5052105327260635,-0.6388129388645557,-0.7298172791008062
HS_챕터,0.04701234048097781,0.28311367888139755,0.10425907380135088,0.023794975794960458,0.009215627467082306,0.2332379191612609,0.467284785622024,0.3757531274682891,수출_발생_월수_-_조치_전_3개월,0.03470638760913411,0.20900582647403945,0.06923420082379803,0.02156976358744766,0.012274991464848842,-0.06894374550327748,-0.0968332644062551,-0.7039045411103739
수입_발생_월수_-_조치_후_6개월,0.044527183456974366,0.2681477797054515,0.0890333320238387,0.10977861016572561,0.21554910499563898,0.3327488880046684,0.3595514851796393,0.6450519630389285,수입_발생_월수_-_조치_전_3개월,0.032209541361322154,0.19396953345847945,0.0643369742922375,0.07878342571135113,0.16528911007584213,-0.6193860837533394,-0.6674080707983161,-0.5022471326184516
조치대상국-미국_간_인구가중_거리,0.04434419998387871,0.2670458323505103,0.10666778740349102,-0.015055613417261858,-0.036603670186865285,0.699503771402208,0.7838239752899613,0.7100681661523957,중국_GDP_성장률,0.02214310742610484,0.13334831963550323,0.044780773522473956,0.02375644656901863,0.0620628690936681,-0.5329133679411856,-0.26678092209296506,-0.7020419251134149
수입_발생_월수_-_조치_전_6개월,0.03293749500622535,0.1983533533737431,0.06535410231543516,0.07087411896595985,0.1543780530648643,0.3566238951406733,0.33964781732377,0.5158080651772342,,,,,,,,,
반덤핑_조치_시행_이후_경과_월수,0.020373681494889603,0.12269263477128797,0.040667730900738316,0.027062375830207996,0.04068645776818981,0.04196248106611207,0.008874791114517526,-0.13148257485173576,,,,,,,,,
p_ad_yyyymm,0.013385291145786102,0.08060775065464858,0.026753658332836494,-0.02806695923897878,-0.04271421108227922,0.61305042770752,0.7399963960928618,0.5111066970734234,,,,,,,,,
수입_발생_월수_-_조치_후_3개월,0.011925457946419292,0.071816468548769,0.02379746205097253,0.10473884203703658,0.20738356922572176,0.5425152113656472,0.6560927572809603,0.6815052326802459,,,,,,,,,
