Feature,Interaction Features,Contribution Importance
창업동기_2,경영애로사항_5,0.0013080684977984662
창업동기_2,디지털대응_1,0.0011945056333587407
창업동기_2,정부지원경험_3,0.0011379166172172327
창업동기_2,디지털대응_6,0.0011378743266479616
창업동기_2,경영애로사항_6,0.0007447612340450248
창업동기_2,디지털대응_5,0.0005316399598462976
창업동기_2,임차형태_3,0.0005241093311792506
창업동기_2,프랜차이즈가맹점여부,0.0003133025604023066
창업동기_2,임차형태_4,1.6333440829193117e-05
창업동기_2,임차형태_6,9.477598994866172e-06
창업준비활동중요성_동종업종종사경험,직전종사상지위_3,0.030619055793573637
창업준비활동중요성_동종업종종사경험,창업준비활동_동종업종종사경험,0.030560399599461382
창업준비활동중요성_동종업종종사경험,연간매출액,0.02350516010769035
창업준비활동중요성_동종업종종사경험,창업동기_2,0.021683594971218648
창업준비활동중요성_동종업종종사경험,경영애로사항_2,0.021424776038748865
창업준비활동중요성_동종업종종사경험,디지털대응_3,0.017849109967106803
창업준비활동중요성_동종업종종사경험,정부지원경험_1,0.016827610233817052
창업준비활동중요성_동종업종종사경험,총종사자,0.012652612257210955
창업준비활동중요성_동종업종종사경험,연도,0.01160834957624319
창업준비활동중요성_동종업종종사경험,부채현황,0.010540279392563056
창업준비활동중요성_동종업종종사경험,정부지원경험_2,0.009603634099040166
창업준비활동중요성_동종업종종사경험,창업준비활동중요성_창업교육,0.009256734539123892
창업준비활동중요성_동종업종종사경험,직전종사상지위_2,0.009240413108329883
창업준비활동중요성_동종업종종사경험,창업횟수,0.009080338082275327
창업준비활동중요성_동종업종종사경험,경영애로사항_3,0.008784889470194568
창업준비활동중요성_동종업종종사경험,디지털대응_응답여부,0.008218821018456729
창업준비활동중요성_동종업종종사경험,임차형태_1,0.007662776295566564
창업준비활동중요성_동종업종종사경험,창업과정어려움_경영방법,0.007518836771815215
창업준비활동중요성_동종업종종사경험,직전종사상지위_4,0.007034064029328984
창업준비활동중요성_동종업종종사경험,창업준비기간,0.0069427830337351745
창업준비활동중요성_동종업종종사경험,창업과정어려움_인력확보,0.006939259680958778
창업준비활동중요성_동종업종종사경험,창업과정어려움_입지선정,0.0063065385975191995
창업준비활동중요성_동종업종종사경험,창업과정어려움_행정절차,0.005598840947893816
창업준비활동중요성_동종업종종사경험,사업장이전경험,0.005418919007825454
창업준비활동중요성_동종업종종사경험,창업과정어려움_자금조달,0.005383803936791204
창업준비활동중요성_동종업종종사경험,임차형태_7,0.005282823302756324
창업준비활동중요성_동종업종종사경험,직전종사상지위_1,0.005181132093362423
창업준비활동중요성_동종업종종사경험,경영애로사항_1,0.005164204219971552
창업준비활동중요성_동종업종종사경험,창업과정어려움_업종선택,0.004869409944490217
창업준비활동중요성_동종업종종사경험,창업동기_3,0.004811603290549664
창업준비활동중요성_동종업종종사경험,창업준비활동중요성_사업계획서작성,0.004740493315394157
창업준비활동중요성_동종업종종사경험,총창업비용,0.004640484315525872
창업준비활동중요성_동종업종종사경험,창업준비활동중요성_시장조사,0.003911695997060136
창업준비활동중요성_동종업종종사경험,창업준비활동_사업계획서작성,0.0033866634561001033
창업준비활동중요성_동종업종종사경험,정부지원경험_3,0.0033363812721549225
창업준비활동중요성_동종업종종사경험,프랜차이즈가맹점여부,0.00314482399619038
창업준비활동중요성_동종업종종사경험,창업과정어려움_기술확보,0.002974324517289484
창업준비활동중요성_동종업종종사경험,임차형태_2,0.0022832645725214184
창업준비활동중요성_동종업종종사경험,경영애로사항_9,0.001906198418835406
창업준비활동중요성_동종업종종사경험,창업준비활동_시장조사,0.0018213939993328068
창업준비활동중요성_동종업종종사경험,디지털대응_5,0.0017234995233771726
창업준비활동중요성_동종업종종사경험,디지털대응_1,0.0016018708375295516
창업준비활동중요성_동종업종종사경험,경영애로사항_4,0.0011145043584796966
창업준비활동중요성_동종업종종사경험,임차형태_5,0.0010981757523361457
창업준비활동중요성_동종업종종사경험,디지털대응_6,0.0009802113962880128
창업준비활동중요성_동종업종종사경험,경영애로사항_5,0.0006566197872505405
창업준비활동중요성_동종업종종사경험,창업준비활동_창업교육,0.0005112715866815052
창업준비활동중요성_동종업종종사경험,경영애로사항_8,0.0004550239851544711
창업준비활동중요성_동종업종종사경험,디지털대응_4,0.00039300252153912535
창업준비활동중요성_동종업종종사경험,경영애로사항_7,0.000327895703449304
창업준비활동중요성_동종업종종사경험,디지털대응_2,0.000319837290344899
창업준비활동중요성_동종업종종사경험,임차형태_3,0.0003168815370746146
창업준비활동중요성_동종업종종사경험,경영애로사항_6,0.0003088029767663995
창업준비활동중요성_동종업종종사경험,창업동기_4,0.0002855702764203632
창업준비활동중요성_동종업종종사경험,창업동기_1,0.0001876371068583663
창업준비활동중요성_동종업종종사경험,임차형태_4,4.1421808930489923e-05
창업준비활동중요성_동종업종종사경험,임차형태_6,1.631143324272419e-05
정부지원경험_1,정부지원경험_2,0.18456346826288458
정부지원경험_1,정부지원경험_3,0.044914665843909435
정부지원경험_1,디지털대응_3,0.04382867914715632
정부지원경험_1,직전종사상지위_3,0.036399925339708025
정부지원경험_1,창업준비활동_동종업종종사경험,0.02102036737598078
정부지원경험_1,연간매출액,0.019960811787580825
정부지원경험_1,창업과정어려움_경영방법,0.016842093707435626
정부지원경험_1,창업준비활동중요성_동종업종종사경험,0.016827610233817042
정부지원경험_1,경영애로사항_1,0.012969349696761888
정부지원경험_1,창업동기_3,0.012826408477762473
정부지원경험_1,연도,0.011574330775644867
정부지원경험_1,창업동기_2,0.01071813767891165
정부지원경험_1,디지털대응_응답여부,0.010003736573291252
정부지원경험_1,경영애로사항_3,0.008974557641556278
정부지원경험_1,창업과정어려움_업종선택,0.008082804561045367
정부지원경험_1,경영애로사항_2,0.008019805178768706
정부지원경험_1,창업과정어려움_자금조달,0.007111944094057473
정부지원경험_1,창업준비활동_사업계획서작성,0.006882742717110831
정부지원경험_1,창업준비활동중요성_사업계획서작성,0.006403456289600502
정부지원경험_1,창업준비기간,0.006382583988233378
정부지원경험_1,창업과정어려움_행정절차,0.006340977471813908
정부지원경험_1,창업준비활동중요성_시장조사,0.00610290853887872
정부지원경험_1,총종사자,0.005991591704036516
정부지원경험_1,창업과정어려움_기술확보,0.005763126705944529
정부지원경험_1,부채현황,0.005274808990664934
정부지원경험_1,직전종사상지위_2,0.00515673630901
정부지원경험_1,경영애로사항_9,0.005099720824865063
정부지원경험_1,직전종사상지위_1,0.00448186664562245
정부지원경험_1,창업준비활동_시장조사,0.004047922469329097
정부지원경험_1,창업과정어려움_인력확보,0.0038049870712738155
정부지원경험_1,임차형태_1,0.003480884603432493
정부지원경험_1,창업준비활동중요성_창업교육,0.0034029784816533033
정부지원경험_1,총창업비용,0.003300267894582763
정부지원경험_1,창업과정어려움_입지선정,0.0032276836378272128
정부지원경험_1,창업횟수,0.0030243790032650777
정부지원경험_1,디지털대응_1,0.002842722844375407
정부지원경험_1,직전종사상지위_4,0.0027866601014596673
정부지원경험_1,프랜차이즈가맹점여부,0.002366014373292423
정부지원경험_1,창업준비활동_창업교육,0.0022777256227592144
정부지원경험_1,디지털대응_5,0.002156257722116333
정부지원경험_1,임차형태_7,0.0020273181655448614
정부지원경험_1,디지털대응_6,0.0020247929686143537
정부지원경험_1,경영애로사항_4,0.001975503018382812
정부지원경험_1,사업장이전경험,0.0017633523647407967
정부지원경험_1,디지털대응_4,0.0010874621945788337
정부지원경험_1,디지털대응_2,0.001033222451189093
정부지원경험_1,임차형태_5,0.0009420245482792594
정부지원경험_1,임차형태_2,0.0007503131306466566
정부지원경험_1,경영애로사항_5,0.0006237517751200098
정부지원경험_1,경영애로사항_6,0.0004032084535079993
정부지원경험_1,경영애로사항_8,0.0003872267200214557
정부지원경험_1,경영애로사항_7,0.00034019843746253207
정부지원경험_1,창업동기_4,0.0003383337944624673
정부지원경험_1,임차형태_3,0.00027747874279363747
정부지원경험_1,창업동기_1,0.00018901225671265793
정부지원경험_1,임차형태_4,1.65604258418167e-05
정부지원경험_1,임차형태_6,1.0785940933460277e-05
직전종사상지위_3,창업횟수,0.0957515109584701
직전종사상지위_3,직전종사상지위_4,0.07637808517451695
직전종사상지위_3,직전종사상지위_2,0.07584088721639075
직전종사상지위_3,직전종사상지위_1,0.05383646564905249
직전종사상지위_3,정부지원경험_1,0.036399925339708025
직전종사상지위_3,경영애로사항_2,0.030666619560576643
직전종사상지위_3,창업준비활동중요성_동종업종종사경험,0.030619055793573643
직전종사상지위_3,디지털대응_3,0.027105981480087363
직전종사상지위_3,창업동기_2,0.020168451300584183
직전종사상지위_3,사업장이전경험,0.015430660848741137
직전종사상지위_3,연간매출액,0.012666455821500973
직전종사상지위_3,정부지원경험_2,0.012239519447534682
직전종사상지위_3,경영애로사항_3,0.011221349892263926
직전종사상지위_3,창업과정어려움_인력확보,0.01058503366908014
직전종사상지위_3,임차형태_7,0.010411160927460285
직전종사상지위_3,디지털대응_응답여부,0.009043986020536299
직전종사상지위_3,연도,0.008937090920849752
직전종사상지위_3,창업과정어려움_경영방법,0.007860823228841725
직전종사상지위_3,창업준비활동중요성_사업계획서작성,0.006630935814785791
직전종사상지위_3,창업준비활동_동종업종종사경험,0.0060159937391419905
직전종사상지위_3,창업동기_3,0.005286088691942002
직전종사상지위_3,창업준비기간,0.004606192707882062
직전종사상지위_3,창업과정어려움_업종선택,0.004345234745501595
직전종사상지위_3,임차형태_1,0.0042558565883980244
직전종사상지위_3,창업과정어려움_자금조달,0.003948239590122177
직전종사상지위_3,창업준비활동_사업계획서작성,0.003936986153748118
직전종사상지위_3,경영애로사항_9,0.0033273221517461783
직전종사상지위_3,정부지원경험_3,0.0033032502124314676
직전종사상지위_3,총종사자,0.0031756670400768638
직전종사상지위_3,경영애로사항_1,0.003025841568667367
직전종사상지위_3,창업과정어려움_기술확보,0.003020084063390251
직전종사상지위_3,경영애로사항_4,0.0030131353254764528
직전종사상지위_3,창업준비활동중요성_창업교육,0.002711099178261653
직전종사상지위_3,임차형태_2,0.0026359544754855093
직전종사상지위_3,창업준비활동중요성_시장조사,0.002612974175041989
직전종사상지위_3,경영애로사항_8,0.0024400184427269774
직전종사상지위_3,창업과정어려움_입지선정,0.002189258382577958
직전종사상지위_3,부채현황,0.0021042958726518435
직전종사상지위_3,창업동기_1,0.002003491323386785
직전종사상지위_3,임차형태_5,0.0019422678973161438
직전종사상지위_3,총창업비용,0.001937929546932951
직전종사상지위_3,창업준비활동_시장조사,0.0017391726482189147
직전종사상지위_3,창업과정어려움_행정절차,0.0014067187397713015
직전종사상지위_3,경영애로사항_7,0.0012973557075673051
직전종사상지위_3,경영애로사항_6,0.0012726026354715567
직전종사상지위_3,창업준비활동_창업교육,0.0010625599041428535
직전종사상지위_3,디지털대응_4,0.0009645080636157485
직전종사상지위_3,창업동기_4,0.000898196001251877
직전종사상지위_3,임차형태_3,0.0007651861672557483
직전종사상지위_3,디지털대응_6,0.0007534299958807931
직전종사상지위_3,경영애로사항_5,0.0006442022012623711
직전종사상지위_3,디지털대응_1,0.0004544785082908796
직전종사상지위_3,디지털대응_2,0.00045440823112854193
직전종사상지위_3,디지털대응_5,0.00044504668482258936
직전종사상지위_3,프랜차이즈가맹점여부,0.0003388285846854959
직전종사상지위_3,임차형태_6,0.00016349426858450216
직전종사상지위_3,임차형태_4,3.827710796308204e-05
경영애로사항_2,경영애로사항_3,0.08135411546171234
경영애로사항_2,경영애로사항_1,0.07088815909097917
경영애로사항_2,직전종사상지위_3,0.030666619560576633
경영애로사항_2,창업과정어려움_업종선택,0.029226861473530152
경영애로사항_2,경영애로사항_4,0.028750112918853304
경영애로사항_2,디지털대응_응답여부,0.021803459366887892
경영애로사항_2,창업준비활동중요성_동종업종종사경험,0.02142477603874887
경영애로사항_2,연도,0.020568867765282117
경영애로사항_2,직전종사상지위_2,0.019290046509519675
경영애로사항_2,경영애로사항_5,0.01819780669838888
경영애로사항_2,사업장이전경험,0.016255976188709702
경영애로사항_2,경영애로사항_8,0.014662197718419414
경영애로사항_2,창업동기_2,0.014123970797067896
경영애로사항_2,경영애로사항_6,0.013465977432678852
경영애로사항_2,임차형태_1,0.013224351109713851
경영애로사항_2,창업준비활동_창업교육,0.013087094094939538
경영애로사항_2,창업준비활동_동종업종종사경험,0.012171802703230088
경영애로사항_2,창업과정어려움_경영방법,0.01200180976709571
경영애로사항_2,임차형태_7,0.011397893202624233
경영애로사항_2,연간매출액,0.010117518329665303
경영애로사항_2,경영애로사항_7,0.010101917062409713
경영애로사항_2,창업과정어려움_인력확보,0.009612042707247064
경영애로사항_2,창업과정어려움_기술확보,0.008873196504217242
경영애로사항_2,창업준비활동_사업계획서작성,0.008751259634850227
경영애로사항_2,창업과정어려움_행정절차,0.008437365441016169
경영애로사항_2,정부지원경험_1,0.008019805178768708
경영애로사항_2,창업준비기간,0.007696145446753963
경영애로사항_2,디지털대응_3,0.007594131227430455
경영애로사항_2,창업동기_3,0.006699015122302384
경영애로사항_2,총종사자,0.006386159564429492
경영애로사항_2,창업과정어려움_자금조달,0.005789650345193311
경영애로사항_2,창업준비활동_시장조사,0.00576149319607541
경영애로사항_2,직전종사상지위_4,0.005188613441533074
경영애로사항_2,정부지원경험_2,0.0047028308154892584
경영애로사항_2,부채현황,0.004302131717793492
경영애로사항_2,창업준비활동중요성_사업계획서작성,0.0040360919580631925
경영애로사항_2,총창업비용,0.0035727939359609215
경영애로사항_2,창업횟수,0.0034577319809457195
경영애로사항_2,경영애로사항_9,0.00343294690289789
경영애로사항_2,직전종사상지위_1,0.003402823122581482
경영애로사항_2,창업준비활동중요성_창업교육,0.0033022590271462897
경영애로사항_2,임차형태_5,0.003295991755403902
경영애로사항_2,임차형태_2,0.0029505394949826593
경영애로사항_2,창업준비활동중요성_시장조사,0.002813467234693793
경영애로사항_2,디지털대응_1,0.0025971229646333154
경영애로사항_2,창업동기_1,0.0024731877233320544
경영애로사항_2,창업과정어려움_입지선정,0.002444495825818313
경영애로사항_2,디지털대응_4,0.0019098139016410652
경영애로사항_2,창업동기_4,0.0016652965342075954
경영애로사항_2,디지털대응_2,0.0015812958800237656
경영애로사항_2,정부지원경험_3,0.0014018135722757103
경영애로사항_2,디지털대응_5,0.0008495047181385395
경영애로사항_2,프랜차이즈가맹점여부,0.0007200390042328499
경영애로사항_2,디지털대응_6,0.0005632081715452788
경영애로사항_2,임차형태_3,0.00043990333969772606
경영애로사항_2,임차형태_6,0.00010254192659274629
창업준비활동중요성_창업교육,연간매출액,0.04460164419464862
창업준비활동중요성_창업교육,창업과정어려움_경영방법,0.013361292634062594
