Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression),Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression)
창업횟수,0.09374588850701365,0.22092497536507974,0.763260825490016,1.6680725388896556,1.499429863325447,+,+,+,,,,,,,,,
총종사자,0.09865553343711146,0.19369767928869885,0.6472412343726685,13.6576113140599,5.069041669531426,+,+,+,,,,,,,,,
연도,0.19884514795422106,0.9941541201586311,0.6187069274439826,0.7663413435189933,0.0,+,+,+,,,,,,,,,
창업준비기간,0.06553350171853035,0.12680166929049994,0.6093268453877195,1.6678292488125643,1.3592284515162123,+,+,+,,,,,,,,,
창업준비활동중요성_창업교육,0.26402326095509066,0.26402326095509066,0.5826091956645412,0.11086112482248853,0.0,+,+,+,,,,,,,,,
디지털대응_응답여부,0.1187089644871437,0.15670321953346908,0.563961614292351,0.1529320614441353,0.07778471147008928,+,+,+,,,,,,,,,
창업과정어려움_입지선정,0.22294690893069516,0.2627136184509947,0.5468446783626466,0.0785505978549758,0.0,+,+,+,,,,,,,,,
연간매출액,0.22064628598479036,0.4318220184247024,0.4983534413079596,2.158861948941592,31.995456290740883,+,+,+,,,,,,,,,
디지털대응_3,0.44666911825863787,0.44666911825863787,0.44355719671918575,0.10724484568148326,0.054396719014129756,+,+,+,,,,,,,,,
부채현황,0.05199678314767422,0.10382557833628131,0.28268858501974764,2.06756165103194,-5.768776762473639,+,+,-,,,,,,,,,
총창업비용,0.0344013781348934,0.06776812914896713,0.13683071833627863,0.19752147133325415,0.011131953320048365,+,+,+,,,,,,,,,
창업과정어려움_인력확보,0.14292119173898335,0.14292119173898335,0.07317860150846661,0.011536819220914622,0.0,+,+,+,,,,,,,,,
