Feature,Category / Metric,Non-purchased,Purchased,Statistics
총 구매 횟수,Mean ± SD,0.00 ± 0.11,0.40 ± 1.38,"$T$=-28.41, $p$<0.001"
메시지 수신: 데스크탑,0,"7,746,562 (96.96%)","9,109 (92.27%)","$\chi^2$=731.51, $p$<0.001"
메시지 수신: 데스크탑,1,"243,029 (3.04%)",763 (7.73%),
최종 오픈 경과 시간(평균),Mean ± SD,2404.79 ± 981.90,2049.81 ± 1389.38,"$T$=25.38, $p$<0.001"
이메일 계정: 기타,0,"3,707,399 (46.40%)","5,716 (57.90%)","$\chi^2$=523.66, $p$<0.001"
이메일 계정: 기타,1,"4,282,192 (53.60%)","4,156 (42.10%)",
총 메시지 수신 수,Mean ± SD,0.96 ± 1.55,1.55 ± 2.73,"$T$=-21.54, $p$<0.001"
급여일 근접도,0.049787066876888275,"334,006 (4.18%)",353 (3.58%),"$\chi^2$=471.37, $p$<0.001"
급여일 근접도,0.0694834515452385,"214,796 (2.69%)",317 (3.21%),
급여일 근접도,0.09697196632623672,"799,598 (10.01%)",822 (8.33%),
급여일 근접도,0.1353352814912796,"957,314 (11.98%)",970 (9.83%),
급여일 근접도,0.18887560069561005,"976,703 (12.22%)","1,070 (10.84%)",
급여일 근접도,0.26359713077545166,"1,000,788 (12.53%)","1,632 (16.53%)",
급여일 근접도,0.3678794503211975,"1,243,393 (15.56%)","1,356 (13.74%)",
급여일 근접도,0.51341712474823,"919,872 (11.51%)","1,617 (16.38%)",
급여일 근접도,0.7165313363075256,"1,002,120 (12.54%)","1,176 (11.91%)",
급여일 근접도,1.0,"541,001 (6.77%)",559 (5.66%),
이메일 경과 시간,Mean ± SD,1084.59 ± 2071.62,761.29 ± 1605.05,"$T$=19.99, $p$<0.001"
총 캠페인 수,Mean ± SD,0.93 ± 1.40,1.26 ± 1.79,"$T$=-18.62, $p$<0.001"
메시지 수신: 태블릿,0,"7,987,640 (99.98%)","9,841 (99.69%)","$\chi^2$=322.25, $p$<0.001"
메시지 수신: 태블릿,1,"1,951 (0.02%)",31 (0.31%),
캠페인 채널: 멀티채널,0,"7,587,387 (94.97%)","9,765 (98.92%)","$\chi^2$=321.30, $p$<0.001"
캠페인 채널: 멀티채널,1,"402,204 (5.03%)",107 (1.08%),
채널 메세지 유형: 특정 유저행동 발송,0,"7,587,387 (94.97%)","9,765 (98.92%)","$\chi^2$=321.30, $p$<0.001"
채널 메세지 유형: 특정 유저행동 발송,1,"402,204 (5.03%)",107 (1.08%),
캠페인 유형: 특정 유저행동,0,"7,587,387 (94.97%)","9,765 (98.92%)","$\chi^2$=321.30, $p$<0.001"
캠페인 유형: 특정 유저행동,1,"402,204 (5.03%)",107 (1.08%),
성공 경로 일치도,Mean ± SD,0.30 ± 0.41,0.23 ± 0.34,"$T$=18.02, $p$<0.001"
발송 간격 표준편차,Mean ± SD,0.12 ± 4.06,3.27 ± 20.06,"$T$=-15.58, $p$<0.001"
채널별 특정 주제 캠페인 오픈율(30일 내),Mean ± SD,0.19 ± 0.04,0.18 ± 0.04,"$T$=15.33, $p$<0.001"
가입 기간(첫 구매 경과),Mean ± SD,417.24 ± 1484.70,724.89 ± 2236.08,"$T$=-13.67, $p$<0.001"
주차 정보,1,"1,812,600 (22.69%)","2,313 (23.43%)","$\chi^2$=198.54, $p$<0.001"
주차 정보,2,"1,830,175 (22.91%)","2,661 (26.96%)",
주차 정보,3,"1,758,890 (22.01%)","1,782 (18.05%)",
주차 정보,4,"1,903,539 (23.83%)","2,110 (21.37%)",
주차 정보,5,"684,387 (8.57%)","1,006 (10.19%)",
불만 접수 경과 시간(평균),Mean ± SD,0.13 ± 31.41,0.00 ± 0.00,"$T$=12.03, $p$<0.001"
마지막 접촉 경과 시간,Mean ± SD,178.87 ± 619.24,125.37 ± 458.91,"$T$=11.57, $p$<0.001"
이메일 계정: 지메일,0,"6,844,363 (85.67%)","8,813 (89.27%)","$\chi^2$=104.18, $p$<0.001"
이메일 계정: 지메일,1,"1,145,228 (14.33%)","1,059 (10.73%)",
분기 말 근접도,Mean ± SD,0.08 ± 0.21,0.06 ± 0.19,"$T$=8.37, $p$<0.001"
재구매 준비도,Mean ± SD,0.00 ± 0.01,0.00 ± 0.05,"$T$=-4.56, $p$<0.001"
캠페인 주제: 리뷰 요청,0,"7,988,945 (99.99%)","9,867 (99.95%)","$\chi^2$=17.03, $p$<0.001"
캠페인 주제: 리뷰 요청,1,646 (0.01%),5 (0.05%),
캠페인 주제: 연관 상품 추천,0,"7,983,053 (99.92%)","9,853 (99.81%)","$\chi^2$=13.41, $p$<0.001"
캠페인 주제: 연관 상품 추천,1,"6,538 (0.08%)",19 (0.19%),
선호 시간대 일치도,Mean ± SD,0.23 ± 0.67,0.26 ± 0.70,"$T$=-3.49, $p$<0.001"
구독 취소 경과 시간(평균),Mean ± SD,7232.53 ± 99.83,7226.40 ± 214.20,"$T$=2.84, $p$=0.00"
메시지 구독 취소 여부,0,"7,986,214 (99.96%)","9,864 (99.92%)","$\chi^2$=2.65, $p$=0.10"
메시지 구독 취소 여부,1,"3,377 (0.04%)",8 (0.08%),
발송 채널: 웹 푸시,0,"7,986,969 (99.97%)","9,872 (100.00%)","$\chi^2$=2.32, $p$=0.13"
발송 채널: 웹 푸시,1,"2,622 (0.03%)",0 (0.00%),
캠페인 주제: 이벤트,0,"7,987,198 (99.97%)","9,872 (100.00%)","$\chi^2$=2.04, $p$=0.15"
캠페인 주제: 이벤트,1,"2,393 (0.03%)",0 (0.00%),
캠페인 주제: 생일 축하,0,"7,980,726 (99.89%)","9,863 (99.91%)","$\chi^2$=0.19, $p$=0.66"
캠페인 주제: 생일 축하,1,"8,865 (0.11%)",9 (0.09%),
캠페인 채널: SMS,0,"7,989,516 (100.00%)","9,872 (100.00%)","$\chi^2$=0.00, $p$=1.00"
캠페인 채널: SMS,1,75 (0.00%),0 (0.00%),
